"yPos","xPos","race","lat","lon"
1485,1235,"Black",38.85149,-76.96532
990,1140,"Black",38.8996293779063,-76.9773007061164
950,1541,"Black",38.90357,-76.92704
1588,1084,"Black",38.8414672214878,-76.9842522556332
1556,1073,"Black",38.84455,-76.98558
1738,962,"Black",38.82691,-76.99951
1160,1266,"Black",38.88307,-76.96145
977,1173,"Black",38.90096,-76.97311
1500,1214,"Black",38.8499854242996,-76.9679906043688
965,1535,"Black",38.90211,-76.92776
219,746,"Black",38.97465,-77.02659
1136,1061,"Black",38.88547,-76.98713
1359,1076,"Black",38.8637769536559,-76.9852631768924
1041,1101,"Black",38.89468,-76.98209
1154,1351,"Black",38.88367,-76.95081
1424,1232,"Black",38.85746,-76.96577
1521,1152,"Black",38.84803,-76.97573
819,914,"Black",38.91624,-77.00554
474,708,"Black",38.94985,-77.03138
1021,1096,"Black",38.89659,-76.9827
939,1131,"Black",38.90465,-76.9784
1424,1167,"Black",38.85746,-76.97383
403,799,"Black",38.95672,-77.01992
1307,1078,"Black",38.86882,-76.98504
408,690,"Black",38.95631,-77.03357
958,1165,"Black",38.9027190011641,-76.9741432293686
975,1028,"Black",38.90109,-76.99122
399,705,"Black",38.95717,-77.03171
1159,1496,"Black",38.8831561360408,-76.9326778523425
116,740,"Black",38.98466,-77.0273
1352,1080,"Black",38.86444,-76.98476
1227,1221,"Black",38.87654,-76.9671
1235,839,"Black",38.87584,-77.0149
1178,861,"Black",38.8814,-77.0122
741,975,"Black",38.92384,-76.99793
1106,1361,"Black",38.88837,-76.94952
1658,932,"Black",38.83465,-77.00327
959,1510,"Black",38.90264,-76.93085
1226,1209,"Black",38.87667,-76.96855
816,836,"Black",38.91662,-77.0153
1137,1131,"Black",38.88531,-76.97838
782,322,"Black",38.91987,-77.07963
1182,1431,"Black",38.88095,-76.94078
1264,1137,"Black",38.87295,-76.97759
1504,1162,"Black",38.84965,-76.97453
1147,1324,"Black",38.88439,-76.95421
490,731,"Black",38.94826,-77.02849
1517,1067,"Black",38.84833,-76.98638
1519,927,"Black",38.84814,-77.00391
1535,1086,"Black",38.84665,-76.984
1270,822,"Black",38.8724023333661,-77.0170544079713
1174,1495,"Black",38.88177,-76.9328
590,656,"Black",38.93859,-77.0378
1093,1320,"Black",38.8896577612098,-76.9547088476689
907,1070,"Black",38.90776,-76.98607
514,901,"Black",38.94596,-77.00712
560,830,"Black",38.94145,-77.01604
1723,929,"Black",38.82837,-77.00367
763,1239,"Black",38.92172,-76.96487
1461,1073,"Black",38.85384,-76.98565
1026,1113,"Black",38.89616,-76.98067
705,809,"Black",38.9274142374391,-77.01865373041
1229,1499,"Black",38.87643,-76.93234
1391,946,"Black",38.86064,-77.00153
630,1111,"Black",38.93464,-76.98082
1209,1038,"Black",38.87837,-76.99
341,760,"Black",38.96282,-77.02487
